studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
database_itrdb_cana293,Ingraham Trail,FALSE,62.55,-113.87,,2005,2005,1734,Pinus,banksiana,,Lamb.,St-Onge - Ingraham Trail - PIBN - ITRDB CANA293,"St-Onge, S.; Pisaric, M.F.J.; Kokelj, S.",https://doi.org/10.25921/vp48-0p76,FALSE
database_itrdb_cana294,Fifty Kilometres,FALSE,62.5,-113.43,,2005,2005,1804,Pinus,banksiana,,Lamb.,St-Onge - Fifty Kilometres - PIBN - ITRDB CANA294,"St-Onge, S.; Pisaric, M.F.J.; Kokelj, S.",https://doi.org/10.25921/vdzj-1p77,FALSE
pub_helle_csitwdadcflies_2008,Suntar Khayata mountain ridge,FALSE,63.1,139.08,,2000,2000,1588,Larix,cajanderi,,Mayr,,,,TRUE
pub_buras_waojcappfprita_2017,Kobbefjord ,TRUE,,,"POLYGON((-51.423146043873125 64.17315056288173,-51.40735319719344 64.18092708996339,-51.356198106861406 64.16297796675973,-51.37199095354109 64.15534607105607,-51.423146043873125 64.17315056288173))",2013,2012,1675,Juniperus,communis,,L.,,,,TRUE
database_itrdb_russ193,Lower Lena,FALSE,70.67,125.87,,1994,1994,1405,Larix,decidua,,Mill.,MacDonald - Lower Lena - LADE - ITRDB RUSS193,"MacDonald, G.M.; Case, R.A.; Szeicz, J.M.",https://doi.org/10.25921/87f6-kd32,FALSE
database_itrdb_ak031,Four Twelve with Revisit,FALSE,67.93,-162.3,,1990,1990,1524,Picea,glauca,,(Moench) Voss,Jacoby - Four Twelve with Revisit - PCGL - ITRDB AK031,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/8wz6-4639,FALSE
database_itrdb_ak032,Arrigetch,FALSE,67.45,-154.05,,1990,1990,1585,Picea,glauca,,(Moench) Voss,Jacoby - Arrigetch - PCGL - ITRDB AK032,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/ept8-y506,FALSE
database_itrdb_ak033,Sheenjek River and Flats,FALSE,68.63,-143.72,,1979,1979,1296,Picea,glauca,,(Moench) Voss,Jacoby - Sheenjek River and Flats - PCGL - ITRDB AK033,"Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.",https://doi.org/10.25921/y8h7-he87,FALSE
database_itrdb_ak034,Fox River Bank,FALSE,64.82,-163.7,,1997,1997,1795,Picea,glauca,,(Moench) Voss,Lloyd - Fox River Bank - PCGL - ITRDB AK034,"Lloyd, A.H.",https://doi.org/10.25921/qa2g-r506,FALSE
database_itrdb_ak038,Grasshopper Hill,FALSE,64.92,-163.67,,1999,1999,1790,Picea,glauca,,(Moench) Voss,Lloyd - Grasshopper Hill - PCGL - ITRDB AK038,"Lloyd, A.H.",https://doi.org/10.25921/cs6c-8533,FALSE
database_itrdb_ak046,Kobuk/Noatak,FALSE,67.07,-159.62,,1992,1992,978,Picea,glauca,,(Moench) Voss,King - Kobuk/Noatak - PCGL - ITRDB AK046,"King, J.C.; Graumlich, L.J.",https://doi.org/10.25921/3a2b-f314,FALSE
database_itrdb_ak047,Firth River,FALSE,68.1,-141.1,,2002,2002,1676,Picea,glauca,,(Moench) Voss,Wilmking - Firth River - PCGL - ITRDB AK047,"Wilmking, M.",https://doi.org/10.25921/jnyn-z308,FALSE
database_itrdb_ak048,Chimney Lake,FALSE,67.12,-150.08,,2001,2001,1725,Picea,glauca,,(Moench) Voss,Wilmking - Chimney Lake - PCGL - ITRDB AK048,"Wilmking, M.",https://doi.org/10.25921/11gx-6t60,FALSE
database_itrdb_ak049,North Fork Koyukuk,FALSE,67.15,-150.08,,2001,2001,1715,Picea,glauca,,(Moench) Voss,Wilmking - North Fork Koyukuk - PCGL - ITRDB AK049,"Wilmking, M.",https://doi.org/10.25921/k1pq-5j32,FALSE
database_itrdb_ak050,Nutirwik Creek,FALSE,67.15,-149.13,,2000,2000,1731,Picea,glauca,,(Moench) Voss,Wilmking - Nutirwik Creek - PCGL - ITRDB AK050,"Wilmking, M.",https://doi.org/10.25921/3sgk-m964,FALSE
database_itrdb_ak051,Nutirwik Creek Floodplain,FALSE,67.15,-149.13,,2001,2001,1828,Picea,glauca,,(Moench) Voss,Wilmking - Nutirwik Creek Floodplain - PCGL - ITRDB AK051,"Wilmking, M.",https://doi.org/10.25921/md9m-mm03,FALSE
database_itrdb_ak052,Hunt Fork of John River,FALSE,67.13,-152.07,,2002,2002,1730,Picea,glauca,,(Moench) Voss,Wilmking - Hunt Fork of John River - PCGL - ITRDB AK052,"Wilmking, M.",https://doi.org/10.25921/sqqk-3m75,FALSE
database_itrdb_ak053,Sheenjek River,FALSE,68.08,-143.13,,2000,2000,1715,Picea,glauca,,(Moench) Voss,Joergenson - Sheenjek River - PCGL - ITRDB AK053,"Joergenson, J.; Wilmking, M.",https://doi.org/10.25921/cpsf-9449,FALSE
database_itrdb_ak057,Almond Butter Lower,FALSE,65.18,-162.2,,2002,2002,1607,Picea,glauca,,(Moench) Voss,D'Arrigo - Almond Butter Lower - PCGL - ITRDB AK057,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/cn2b-8357,FALSE
database_itrdb_ak058,Almond Butter Upper,FALSE,65.18,-162.22,,2002,2002,1406,Picea,glauca,,(Moench) Voss,D'Arrigo - Almond Butter Upper - PCGL - ITRDB AK058,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/k1hy-0k75,FALSE
database_itrdb_ak059,Alpine View,FALSE,65.12,-162.18,,2002,2002,1542,Picea,glauca,,(Moench) Voss,D'Arrigo - Alpine View - PCGL - ITRDB AK059,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/wbmc-0368,FALSE
database_itrdb_ak060,Burnt Over,FALSE,65.22,-162.25,,2002,2002,1621,Picea,glauca,,(Moench) Voss,D'Arrigo - Burnt Over - PCGL - ITRDB AK060,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/j13p-hz08,FALSE
database_itrdb_ak061,Bye Rosanne,FALSE,65.08,-162.18,,2002,2002,1575,Picea,glauca,,(Moench) Voss,D'Arrigo - Bye Rosanne - PCGL - ITRDB AK061,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/eg3q-sm78,FALSE
database_itrdb_ak062,Death Valley,FALSE,65.2,-162.27,,2002,2002,1358,Picea,glauca,,(Moench) Voss,D'Arrigo - Death Valley - PCGL - ITRDB AK062,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/gbzb-zd74,FALSE
database_itrdb_ak063,Echo Slope,FALSE,65.1,-162.15,,2002,2002,1590,Picea,glauca,,(Moench) Voss,D'Arrigo - Echo Slope - PCGL - ITRDB AK063,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/4ahv-9t06,FALSE
database_itrdb_ak064,Frost Valley,FALSE,65.08,-162.15,,2002,2002,1611,Picea,glauca,,(Moench) Voss,D'Arrigo - Frost Valley - PCGL - ITRDB AK064,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/xfv4-q350,FALSE
